#ID	RA	DEC	ENV	CO10	UC_CO10	CO21	UC_CO21	CO32	UC_CO32	13CO10	UC_13CO10	13CO21	UC_13CO21	C18O10	UC_C18O10	SNR_TCO	C18O21	UC_C18O21	C17O10	UC_C17O10
569   20.36219268     11.31234821     4     40.08010374   0.15676268   37.1669658    0.28596168   15.05708834   0.17152299   5.67187009   0.13552594   3.47499507   0.24866654   1.38816579    0.12899604   41.85080797078404    1.64281425    0.27317879   0.00552529    0.15550093  
447   6.86222025      -35.45398563    4     30.62941499   0.15015085   26.03501148   0.22048686   11.35263014   0.1273448    4.02880341   0.09768123   2.28731736   0.19466545   0.93077197    0.0992451    41.244396799671755   0.4912328     0.21823354   0.38011554    0.13499723  
415   -13.38777332    -47.14498281    2     40.96981551   0.14515798   33.32155226   0.20254351   14.01514462   0.16012526   4.0331728    0.09780299   2.44052031   0.18005261   0.868113      0.10074649   41.23772494072011    0.37157384    0.20073705   0.10015474    0.11709259  
628   6.86217905      34.69407212     4     30.61209716   0.1613777    26.77078853   0.2258008    11.76350425   0.11677654   4.02294211   0.09957266   2.22376528   0.18237147   0.97272215    0.09356404   40.40207532870971    0.61364575    0.20155372   0.18211824    0.11444211  
600   27.1121859      23.00453005     4     35.35842517   0.15235124   31.44901835   0.23597716   13.5979072    0.17451396   4.7899862    0.11873387   2.55682285   0.22334575   1.16566619    0.09988948   40.34220564022718    0.80274252    0.21538757   0.24417396    0.13397676  
508   20.36220642     -12.07033783    4     38.23980302   0.18846897   35.9235313    0.3023767    17.45076928   0.2229655    5.40885075   0.13433194   3.43621237   0.23954061   1.33843146    0.13107872   40.26481527773662    0.86687562    0.2344522    0.31788248    0.16378222  
416   0.11222702      -47.14545177    2     38.19605332   0.15840084   29.77526732   0.21178058   12.71441413   0.16280486   3.96625673   0.09919622   2.17274605   0.18217448   0.7422528     0.10444431   39.98395029568667    0.55504259    0.18401502   0.39296837    0.1302445   
478   13.61221337     -23.76228099    4     29.58836964   0.14501831   27.74230711   0.24344644   12.64513873   0.13541955   4.29401755   0.11586526   2.70973423   0.23039448   0.94916414    0.10699912   37.06044029073081    0.53328507    0.22252222   0.32616163    0.13576448  
570   33.86219256     11.31426428     4     32.95072154   0.15441618   29.32881643   0.23663356   14.2113116    0.12626599   4.46282754   0.12180237   2.64600115   0.21750682   1.24802931    0.11966374   36.63990725303621    0.81964176    0.20568677   0.17074526    0.13370512  
627   -6.63782114     34.6940642      4     28.79197644   0.14745679   24.9319823    0.2399785    10.97648715   0.11374295   3.58794125   0.09978996   2.14642386   0.17635496   0.75856819    0.10251267   35.95493223967622    0.59180987    0.17071065   0.22118462    0.11506973  
